"AGIX Holdings","As of 2025-08-13","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,5.8,META,US30303M1027,"4,160","3,245,133"
2,MICROSOFT CORP,5.49,MSFT,US5949181045,"5,899","3,070,901"
3,AMAZON.COM INC,4.14,AMZN,US0231351067,"10,315","2,316,336"
4,NVIDIA CORP,3.92,NVDA,US67066G1040,"12,088","2,195,060"
5,ALPHABET INC-CL A,3.47,NasdaqGS:GOOGL,US02079K3059,"9,628","1,944,471"
6,SERVICENOW INC,2.81,NOW,US81762P1021,"1,819","1,570,343"
7,"ANTHROPIC, PBC",2.71,NA,–,"17,829","1,515,465"
8,XAI HOLDINGS CORP,2.68,NA,–,"41,029","1,500,020"
9,APPLE INC,2.66,AAPL,US0378331005,"6,386","1,490,045"
10,TESLA INC,2.59,TSLA,US88160R1014,"4,271","1,449,492"
11,NETFLIX INC,2.55,NFLX,US64110L1061,"1,183","1,424,853"
12,PALANTIR TECHN-A,2.54,PLTR,US69608A1088,"7,715","1,422,415"
13,NEBIUS GROUP NV,2.38,NBIS,NL0009805522,"18,845","1,331,022"
14,DUOLINGO,2.32,DUOL,US26603R1068,"3,968","1,301,226"
15,BROADCOM INC,2.31,AVGO,US11135F1012,"4,184","1,293,233"
16,TEMPUS AI INC,2.29,TEM,US88023B1035,"18,438","1,283,838"
17,SALESFORCE INC,2.27,CRM,US79466L3024,"5,358","1,270,007"
18,ORACLE CORP,2.23,ORCL,US68389X1054,"5,104","1,246,295"
19,TSMC,2.15,TWSE:2330,TW0002330008,"30,000","1,201,843"
20,SAP SE,2.07,SAP,DE0007164600,"4,144","1,160,716"
21,COREWEAVE INC-CL A,2.03,CRWV,US21873S1087,"9,627","1,133,676"
22,APPLOVIN CORP-CLASS A,1.88,APP,US03831W1080,"2,358","1,052,611"
23,ADOBE INC,1.87,ADBE,US00724F1012,"2,988","1,048,997"
24,SNOWFLAKE INC,1.69,SNOW,US8334451098,"4,816","948,126"
25,DATADOG INC - CLASS A,1.68,DDOG,US23804L1035,"7,291","938,425"
26,SAMSARA INC-CL A,1.66,IOT,US79589L1061,"28,131","928,323"
27,ROBLOX CORP -CLASS A,1.61,RBLX,US7710491033,"7,123","903,054"
28,CLOUDFLARE INC - CLASS A,1.57,NET,US18915M1071,"4,399","876,897"
29,ELASTIC NV,1.54,ESTC,NL0013056914,"11,300","863,094"
30,SK HYNIX INC,1.46,KOSE:A000660,KR7000660001,"4,071","819,091"
31,TWILIO INC - A,1.46,TWLO,US90138F1021,"8,043","818,054"
32,SHOPIFY INC - CLASS A,1.46,SHOP,CA82509L1076,"5,438","817,113"
33,ADVANCED MICRO DEVICES,1.41,AMD,US0079031078,"4,269","787,289"
34,ASTERA LABS INC,1.39,ALAB,US04626A1034,"4,025","779,401"
35,WORKDAY INC-CLASS A,1.23,WDAY,US98138H1014,"3,081","687,279"
36,ASML HOLDING NV,1.22,NasdaqGS:ASML,NL0010273215,911,"683,933"
37,PURE STORAGE-A,1.22,PSTG,US74624M1027,"11,432","680,776"
38,MARVELL TECHNOLOGY INC,1.19,MRVL,US5738741041,"8,424","668,192"
39,MONGODB INC,1.13,MDB,US60937P1066,"3,049","632,454"
40,VERTIV HOLDINGS CO-A,1.1,VRT,US92537N1081,"4,492","617,201"
41,GITLAB INC-CL A,1.09,GTLB,US37637K1088,"14,720","611,322"
42,ARISTA NETWORKS INC,1.08,ANET,US0404132054,"4,381","604,622"
43,ATLASSIAN CORP-CL A,1.08,TEAM,US0494681010,"3,683","603,975"
44,ZSCALER INC,1.07,ZS,US98980G1022,"2,155","598,594"
45,CONFLUENT INC-CLASS A,1.05,CFLT,US20717M1036,"33,965","587,255"
46,MICRON TECHNOLOGY INC,1.0,MU,US5951121038,"4,494","558,469"
47,PALO ALTO NETWORKS INC,1.0,PANW,US6974351057,"3,156","558,170"
48,SYNOPSYS INC,0.99,SNPS,US8716071076,892,"551,764"
49,ARM HOLDINGS PLC-ADR,0.82,ARM,US0420682058,"3,256","461,050"
50,CISCO SYSTEMS INC,0.82,CSCO,US17275R1023,"6,536","460,134"
51,MEDIATEK INC,0.82,TWSE:2454,TW0002454006,"10,000","457,368"
52,Cash,0.01,,–,"7,548","7,548"
53,EURO,0.0,,–,44,51
54,CANADIAN DOLLAR,0.0,,–,5,4
